Title,PositiveReview,NegativeReview,Score,GuestName,GuestCountry,RoomType,NumberOfNights,VisitDate,GroupType,PropertyResponse,cleaned_positive,cleaned_negative,sentiment,polarity_positive,polarity_negative,visit_month,visit_year
"Quaint, clean, comfortable bright room with great WiFi and AC.",Close to the airport and clean spacious rooms.,No 24 hour reception so not easy to access entry at odd hours.,8.0,Zainab,United Kingdom,Two-Bedroom Suite,1 night,2022-09-01,Group,,close airport clean spaciou room,hour recept easi access entri odd hour,positive,0.3666666666666667,-0.16666666666666666,9,2022
everything perfect,"Amazing staff 
super clean 
modern 
great location",,10.0,Patrycja,United States of America,Double Room with Balcony,1 night,2022-09-01,Couple,,amaz staff super clean modern great locat,,positive,0.425,0.0,9,2022
Wonderful,Stuff was very nice and friendly. Room was clean and comfortable.,The location was a little bit far from the centre.,9.0,Vaghinak,Armenia,Double Room,3 nights,2022-09-01,Couple,,stuff nice friendli room clean comfort,locat littl bit far centr,positive,0.48333333333333334,0.1,9,2022
My stay was very good and I most certainly will go back to this hotel again when I go to Larnaca,"The breakfast was very good plenty of selection and very good staff serving you as a values customer and so very polite and caring at all times. Could not seem to do enough for their guests, Every thing was spotless clean in the breakfast room","The only thing was they did not a have pool, but however had plenty of chairs to sot on outside in the garden which also was spotlessly clean everywhere too.",10.0,Deacon,United Kingdom,Double Room with Balcony,9 nights,2022-09-01,Solo traveler,,breakfast good plenti select good staff serv valu custom polit care time could seem enough guest everi thing spotless clean breakfast room,thing pool howev plenti chair sot outsid garden also spotlessli clean everywher,positive,0.44166666666666665,0.3666666666666667,9,2022
Very Good,"Good food in the restaurant downstairs, friendly personnel",The room wasn't clean when we checked in. So they finished the cleaning after our complaint,8.0,Nikolaj,Slovakia,Double Room with Balcony,7 nights,2022-08-01,Family,"Thank you for your comments; actually the check-in time at the hotel is 2pm. You told us that you plan to arrive at 11 AM, we tried to make the room ready upon your arrival but  this depends on the check-out  of the guest occupying the room before you, as the check-out time is 12pm.  We are sorry we couldn’t satisfy you in this matter.",good food restaur downstair friendli personnel,room wasnt clean check finish clean complaint,positive,0.7,0.14444444444444446,8,2022
Wonderful,,Lovely little hotel with very friendly staff. Breakfast was excellent.,9.0,Jacqui,United Kingdom,Double Room with Balcony,1 night,2022-09-01,Couple,,,love littl hotel friendli staff breakfast excel,positive,0.0,0.5,9,2022
Nice Stay,"Super friendly staff, nice restaurant.",,10.0,Anna,United Kingdom,Double Room,1 night,2022-09-01,Solo traveler,,super friendli staff nice restaur,,positive,0.4666666666666667,0.0,9,2022
Exceptional,Clean comfortable little hotel. Lovely friendly staff. Good location and easily reached from the airport.,Nothing. It was perfect for my stay.,9.6,Sarah,United Kingdom,Double Room with Balcony,1 night,2022-09-01,Solo traveler,,clean comfort littl hotel love friendli staff good locat easili reach airport,noth perfect stay,positive,0.5222222222222223,1.0,9,2022
"Clean, friendly, great price","We had a horrible 4am arrival, instructions for access were sent in advance and absolutely perfect. In a clean, comfortable bed within minutes of arrival.",N/a,10.0,Merrony,United Kingdom,Budget Twin Room,1 night,2022-09-01,Family,,horribl am arriv instruct access sent advanc absolut perfect clean comfort bed within minut arriv,na,positive,0.6833333333333333,0.0,9,2022
very comfortable,"position,staff and very clean",parking not always easy,10.0,Kevin,United Kingdom,Budget Twin Room,1 night,2022-09-01,Couple,,positionstaff clean,park alway easi,positive,0.3666666666666667,0.0,9,2022
We arrived really late at night and the bar stayed open and even made us some food .,"Close to Larnaca airport. 
Very nice rooms that were very clean. 
helpful, friendly staff.",,10.0,Andrea,United Kingdom,Double Room with Balcony,1 night,2022-09-01,Couple,,close larnaca airport nice room clean help friendli staff,,positive,0.48333333333333334,0.0,9,2022
Very Good,"we did late night check in, that was super easy and comfortable",it was a bit badly soundproofed,8.0,Lina,Germany,Budget Twin Room,1 night,2022-09-01,Couple,,late night check super easi comfort,bit badli soundproof,positive,0.016666666666666663,0.0,9,2022
Very clean and welcoming place to wait for your coming flight,"New room, very comfortable. Nice restaurant in the same building very welcoming with nice offer. Bus stop for the airport walkable.
Francais parlé parfaitement",The location of the place is more a waiting position for your next flight at the Larnaka airport than a beach stay.,8.0,Anne-caroline,France,Double Room with Balcony,1 night,2022-09-01,Family,,new room comfort nice restaur build welcom nice offer bu stop airport walkabl francai parlé parfait,locat place wait posit next flight larnaka airport beach stay,positive,0.4454545454545455,0.0,9,2022
Exceptional,"The best hotel at Mackenzie! Amazing staff, modern facility and very tasty food with a super service at the restaurant by the hotel.",,10.0,Anna,Russia,Double Room with Balcony,2 nights,2022-06-01,Solo traveler,,best hotel mackenzi amaz staff modern facil tasti food super servic restaur hotel,,positive,0.5111111111111111,0.0,6,2022
"great value, clean and comfy airport hotel - would recommend",clean and quiet - perfect location for the airport,,9.0,Charlotte,United Kingdom,Double Room with Balcony,1 night,2022-09-01,Couple,,clean quiet perfect locat airport,,positive,0.45555555555555555,0.0,9,2022
very cute,"the staff is very nice, the room is very comfortable.",some of the towels were dirty,9.0,Sharon,Israel,Double Room with Balcony,1 night,2022-09-01,Couple,,staff nice room comfort,towel dirti,positive,0.6,0.0,9,2022
Wonderful,"The food we had was excellent, service was excellent we will go back.",,9.0,Mr,United Kingdom,Double Room with Balcony,11 nights,2022-09-01,Couple,,food excel servic excel go back,,positive,0.0,0.0,9,2022
Wonderful,"We used the hotel only for one night because it is close to the airport. but i must admit the location offers some nice places for at least a two-nights stay for sure. The nearby beach (mackenzie) is nice, long, with some cool and fancy bars. there is also the salt lake which I wished to visit but didn't have time. The Hotel itself was very nice, spacious, clean and modern. Only thing I didn't like were the blankets - too thick for this incredible hot hot hot weather.",,9.0,Miriam,Czech Republic,Budget Twin Room,1 night,2022-09-01,Solo traveler,,use hotel one night close airport must admit locat offer nice place least twonight stay sure nearbi beach mackenzi nice long cool fanci bar also salt lake wish visit didnt time hotel nice spaciou clean modern thing didnt like blanket thick incred hot hot hot weather,,positive,0.25512820512820517,0.0,9,2022
worth it!!!,very clean and the staff was wonderful,...,8.0,Flavio,Italy,Double Room with Balcony,1 night,2022-09-01,Couple,,clean staff wonder,,positive,0.3666666666666667,0.0,9,2022
It was incredible!,"really clean, exceptional staff, incredibly polite, highly recommend",,10.0,Pavel,Bulgaria,Double Room with Balcony,3 nights,2022-09-01,Couple,,realli clean except staff incred polit highli recommend,,positive,0.3666666666666667,0.0,9,2022
Absolutely loved my stay at La Veranda. The location was perfect.,The staff were very hospitable and very helpful.,The cupboards/wardrobes need doors and they should be drawers in the room to keep the rooms tidy.,9.0,Melissa,United Kingdom,Double Room,9 nights,2022-08-01,Group,,staff hospit help,cupboardswardrob need door drawer room keep room tidi,positive,0.0,0.0,8,2022
Pleasant stay!,"Nice modern and clean rooms. The location is excellent close to Airport, Makenzie  beach and touristic area, and bus stop going from Airport to town is few meters away. Very friendly staff.
Highly recommended.",Nothing,10.0,Michelle,Lebanon,Double Room,1 night,2022-09-01,Couple,,nice modern clean room locat excel close airport makenzi beach tourist area bu stop go airport town meter away friendli staff highli recommend,noth,positive,0.3888888888888889,0.0,9,2022
Very Good,"The room was recently refurbished and very spatious. Nice view of the salt lake by the terrace.
Sinks and toilette separated by a door inside the bathroom.",No soap or shampoo in the shower. There was hand soap instead.,8.0,Luca,Italy,Suite with Balcony,1 night,2022-08-01,Group,,room recent refurbish spatiou nice view salt lake terrac sink toilett separ door insid bathroom,soap shampoo shower hand soap instead,positive,0.3,0.0,8,2022
Exceptional,"Quiet place, good rooms",,10.0,Taras,Ukraine,Double Room with Balcony,1 night,2022-09-01,Family,,quiet place good room,,positive,0.35,0.0,9,2022
Short&sweet,"We only stayed for a night but we were super happy with our stay at the La Veranda Hotel. The staff was super nice, the rooms were very clean and the bathroom was spacious.",I liked everything about the property,10.0,Nadja,Serbia,Double Room,1 night,2022-09-01,Couple,,stay night super happi stay la veranda hotel staff super nice room clean bathroom spaciou,like everyth properti,positive,0.4083333333333333,0.0,9,2022
Accommodation in a residential area near the airport,We used the accommodation for one night before departure. The advantage is the proximity to the airport—very comfortable beds.,"The hotel staff should learn better English - confusing the term ""fridge"" and ""freezer"" can be fatal for a person with diabetes. The team froze our insulin, meaning it was unusable. Luckily we flew home the next day. If it happened before the holidays, we've got the entertainment covered.",9.0,Lenka,Czech Republic,Two-Bedroom Suite,1 night,2022-09-01,Family,,use accommod one night departur advantag proxim airport—veri comfort bed,hotel staff learn better english confus term fridg freezer fatal person diabet team froze insulin mean unus luckili flew home next day happen holiday weve got entertain cover,positive,0.0,0.046875,9,2022
